s,a,r,s'
12,3,0,22
12,2,0,11
12,3,0,11
21,3,0,31
22,2,0,23
92,4,0,82
73,1,0,72
82,4,0,72
72,1,0,71
93,4,0,94
91,2,0,81
93,4,0,83
83,4,0,93
72,1,0,71
72,3,0,82
82,3,0,72
82,2,0,83
95,2,0,85
88,4,0,78
97,1,0,98
55,4,0,45
97,3,0,97
96,1,0,95
86,4,0,87
78,3,10,77
77,1,0,76
75,2,0,76
90,2,0,90
87,4,0,77
88,2,0,87
97,1,0,98
89,4,0,88
87,1,0,86
96,2,0,97
97,3,0,97
88,4,0,87
33,2,0,32
52,2,0,42
42,2,0,32
52,4,0,51
82,1,0,81
83,3,0,93
94,2,0,93
72,1,0,71
81,3,0,91
71,2,0,72
64,4,0,54
26,1,0,36
47,2,0,48
48,2,0,49
39,3,0,49
49,4,0,39
90,3,0,100
7,2,0,6
24,2,0,25
41,4,0,31
22,1,0,23
61,3,0,51
62,2,0,61
73,3,0,83
62,3,0,61
52,2,0,53
33,4,0,23
89,3,0,90
89,3,0,99
90,4,0,89
40,4,0,30
9,1,0,8
27,1,0,26
18,4,0,8
18,4,0,17
17,4,0,16
30,4,0,29
18,2,0,19
38,1,0,39
39,3,0,49
49,1,0,48
90,4,0,80
90,2,0,90
76,1,0,75
72,3,0,82
82,3,0,92
91,4,0,81
83,3,0,93
94,2,0,95
86,1,0,87
66,1,0,76
55,4,0,45
65,4,0,66
77,2,0,67
67,1,0,66
100,1,0,99
99,3,0,99
69,1,0,59
98,3,0,98
38,3,0,48
59,2,0,58
97,1,0,98
98,4,0,88
70,1,0,60
28,4,0,27
27,1,0,28
38,4,0,28
23,3,3,24
16,3,0,26
26,2,0,27
38,3,0,48
23,2,3,13
25,2,0,24
25,2,0,15
25,2,0,26
49,4,0,39
48,2,0,49
15,4,0,25
12,3,0,13
13,2,0,14
1,1,0,1
3,3,0,2
24,4,0,23
23,4,3,13
1,1,0,1
21,2,0,31
39,3,0,29
59,4,0,60
60,2,0,60
60,1,0,59
80,3,0,70
100,4,0,90
77,1,0,78
98,4,0,97
87,3,0,86
97,3,0,97
79,2,0,80
74,2,0,75
75,4,0,85
85,3,0,95
95,3,0,95
96,4,0,86
89,1,0,88
100,3,0,100
100,1,0,90
96,3,0,96
97,3,0,97
94,2,0,93
93,3,0,93
35,4,0,25
24,1,0,23
15,3,0,16
7,1,0,6
1,2,0,11
1,1,0,1
11,3,0,21
32,4,0,31
22,3,0,23
41,3,0,51
62,1,0,61
61,1,0,61
96,2,0,97
98,4,0,88
100,4,0,90
70,3,0,69
69,4,0,59
59,2,0,60
60,2,0,60
36,1,0,35
7,2,0,8
28,2,0,18
36,4,0,26
9,4,0,9
18,1,0,19
